Trajectory_ID,Order,Latitude,Longitude,Type
0,0,35.2626,-59.455414,Container
0,1,35.262623,-59.45519,Container
0,2,35.26264,-59.45486,Container
0,3,35.26269,-59.454468,Container
0,4,35.262737,-59.454075,Container
0,5,35.262814,-59.453663,Container
0,6,35.262863,-59.453327,Container
0,7,35.26292,-59.453,Container
0,8,35.262955,-59.452732,Container
0,9,35.262997,-59.452377,Container
0,10,35.26309,-59.451885,Container
0,11,35.263172,-59.451447,Container
0,12,35.2633,-59.451,Container
0,13,35.2634,-59.450603,Container
0,14,35.263496,-59.450253,Container
0,15,35.263596,-59.44987,Container
0,16,35.263653,-59.449604,Container
0,17,35.263706,-59.449337,Container
0,18,35.263714,-59.448956,Container
0,19,35.263744,-59.448345,Container
0,20,35.263805,-59.447514,Container
0,21,35.263866,-59.446873,Container
0,22,35.263912,-59.44649,Container
14,0,35.26253,-59.455463,Container
14,1,35.262577,-59.455215,Container
14,2,35.262703,-59.454845,Container
14,3,35.262947,-59.45444,Container
14,4,35.263103,-59.454174,Container
14,5,35.263218,-59.454006,Container
14,6,35.26324,-59.4539,Container
14,7,35.26324,-59.453632,Container
14,8,35.263203,-59.45341,Container
14,9,35.263157,-59.453175,Container
14,10,35.26311,-59.45313,Container
14,11,35.26308,-59.453045,Container
14,12,35.263203,-59.453053,Container
14,13,35.263416,-59.453037,Container
14,14,35.26361,-59.453144,Container
14,15,35.263737,-59.453262,Container
14,16,35.263878,-59.45345,Container
14,17,35.26405,-59.453533,Container
14,18,35.264206,-59.4536,Container
14,19,35.26426,-59.453747,Container
14,20,35.264317,-59.454044,Container
14,21,35.264473,-59.454456,Container
14,22,35.26465,-59.45486,Container
24,0,35.262604,-59.455463,Container
24,1,35.262646,-59.4552,Container
24,2,35.26268,-59.454983,Container
24,3,35.262707,-59.454754,Container
24,4,35.26271,-59.45467,Container
24,5,35.262714,-59.454548,Container
24,6,35.262722,-59.454426,Container
24,7,35.262737,-59.454224,Container
24,8,35.262768,-59.453964,Container
24,9,35.26286,-59.453556,Container
24,10,35.26296,-59.45312,Container
24,11,35.26305,-59.452606,Container
24,12,35.263096,-59.45226,Container
24,13,35.263134,-59.451984,Container
24,14,35.263157,-59.45171,Container
24,15,35.263172,-59.45145,Container
24,16,35.263187,-59.451126,Container
24,17,35.263218,-59.450832,Container
24,18,35.263275,-59.45041,Container
24,19,35.263325,-59.45009,Container
24,20,35.263363,-59.44984,Container
24,21,35.26341,-59.44958,Container
24,22,35.26345,-59.449295,Container
24,23,35.2635,-59.448917,Container
24,24,35.26355,-59.448517,Container
24,25,35.263638,-59.447926,Container
24,26,35.263718,-59.447445,Container
24,27,35.26381,-59.44695,Container
24,28,35.263874,-59.446564,Container
24,29,35.263966,-59.44614,Container
24,30,35.26401,-59.445877,Container
24,31,35.264076,-59.44556,Container
24,32,35.26413,-59.445282,Container
24,33,35.2642,-59.444942,Container
24,34,35.264236,-59.44476,Container
24,35,35.2643,-59.444443,Container
24,36,35.264355,-59.44403,Container
24,37,35.264423,-59.443466,Container
24,38,35.26446,-59.443012,Container
24,39,35.2645,-59.4427,Container
24,40,35.26456,-59.442417,Container
24,41,35.26463,-59.44209,Container
24,42,35.26468,-59.441757,Container
24,43,35.26472,-59.44141,Container
24,44,35.264786,-59.44095,Container
24,45,35.26485,-59.44035,Container
24,46,35.264923,-59.439743,Container
24,47,35.265,-59.439148,Container
24,48,35.265087,-59.43868,Container
24,49,35.265152,-59.43825,Container
24,50,35.26521,-59.437817,Container
24,51,35.265247,-59.437378,Container
24,52,35.265324,-59.43692,Container
24,53,35.265392,-59.436558,Container
24,54,35.265484,-59.436096,Container
24,55,35.265545,-59.435627,Container
24,56,35.265636,-59.43509,Container
24,57,35.265728,-59.434505,Container
24,58,35.265804,-59.434063,Container
24,59,35.26587,-59.433643,Container
24,60,35.265915,-59.433346,Container
24,61,35.26596,-59.432972,Container
24,62,35.266,-59.432697,Container
24,63,35.266045,-59.43236,Container
24,64,35.266113,-59.43202,Container
24,65,35.266174,-59.431553,Container
24,66,35.266254,-59.43104,Container
24,67,35.266323,-59.43048,Container
24,68,35.26637,-59.430126,Container
24,69,35.266438,-59.429733,Container
24,70,35.266552,-59.429287,Container
24,71,35.266693,-59.428665,Container
24,72,35.26677,-59.42824,Container
24,73,35.266804,-59.42802,Container
24,74,35.26682,-59.427917,Container
52,0,35.26262,-59.45541,Container
52,1,35.262646,-59.45517,Container
52,2,35.262676,-59.455,Container
52,3,35.2627,-59.454845,Container
52,4,35.262722,-59.454723,Container
52,5,35.262745,-59.454617,Container
52,6,35.262775,-59.454407,Container
52,7,35.26283,-59.45422,Container
52,8,35.262894,-59.45395,Container
52,9,35.26295,-59.453785,Container
52,10,35.263004,-59.45363,Container
52,11,35.263035,-59.453537,Container
52,12,35.26308,-59.45342,Container
52,13,35.263103,-59.453327,Container
52,14,35.263138,-59.453247,Container
52,15,35.263153,-59.453114,Container
52,16,35.26318,-59.45296,Container
52,17,35.26322,-59.452778,Container
52,18,35.263287,-59.452633,Container
52,19,35.26339,-59.452427,Container
52,20,35.263523,-59.452175,Container
52,21,35.26366,-59.451904,Container
52,22,35.263752,-59.451687,Container
52,23,35.263794,-59.45155,Container
52,24,35.26382,-59.451344,Container
52,25,35.263844,-59.451176,Container
52,26,35.26388,-59.45099,Container
52,27,35.26391,-59.45088,Container
56,0,35.262615,-59.45534,Container
56,1,35.262653,-59.45506,Container
56,2,35.26268,-59.45487,Container
56,3,35.26273,-59.454624,Container
56,4,35.262756,-59.45438,Container
66,0,35.262634,-59.455402,Container
66,1,35.262695,-59.45516,Container
66,2,35.262768,-59.454926,Container
66,3,35.262897,-59.454594,Container
66,4,35.263004,-59.454296,Container
66,5,35.263077,-59.45404,Container
66,6,35.263103,-59.453785,Container
66,7,35.263138,-59.453587,Container
66,8,35.263184,-59.453266,Container
